Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/minesweeper4/src/minesweeper/bean,296,296,0,"100.00"
/minesweeper4/src/minesweeper/handlers,160,160,0,"100.00"
/minesweeper4/src/minesweeper/ui,1106,1106,0,"100.00"
/minesweeper4/src/minesweeper/ui/images,417,417,0,"100.00"
